phrase_id,module_name,phrase,phrase_lang,translations
2003,anatomy,tronc,French,"[""trunk""]"
2004,anatomy,trunk,English,"[""tronc""]"
2005,nouns,banc,French,"[""bench""]"
2006,nouns,bench,English,"[""banc""]"
2007,adjectives,direct,French,"[""direct""]"
2008,adjectives,direct,English,"[""direct"", ""directe""]"
2009,nouns,contact,French,"[""contact""]"
2010,nouns,contact,English,"[""contact""]"
2011,adjectives,exact,French,"[""exact""]"
2012,adjectives,exact,English,"[""exact"", ""exacte""]"
2013,nouns,échec,French,"[""failure""]"
2014,nouns,failure,English,"[""échec""]"
2015,prepositions,avec,French,"[""with""]"
2016,prepositions,with,English,"[""avec""]"
2017,nouns,bloc,French,"[""block""]"
2018,nouns,block,English,"[""bloc""]"
2019,conjunctions,donc,French,"[""therefore""]"
2020,conjunctions,therefore,English,"[""donc""]"
2021,music,orchestre,French,"[""orchestra""]"
2022,music,orchestra,English,"[""orchestre""]"
2023,nouns,écho,French,"[""echo""]"
2024,nouns,echo,English,"[""écho""]"
2025,nouns,chaos,French,"[""chaos""]"
2026,nouns,chaos,English,"[""chaos""]"
2027,nouns,cholestérol,French,"[""cholesterol""]"
2028,nouns,cholesterol,English,"[""cholestérol""]"
2029,health,psychologue,French,"[""psychologist""]"
2030,health,psychologist,English,"[""psychologue""]"
2031,health,psychologie,French,"[""psychology""]"
2032,health,psychology,English,"[""psychologie""]"
2033,health,psychologique,French,"[""psychological""]"
2034,health,psychological,English,"[""psychologique""]"
2035,nouns,technologie,French,"[""technology""]"
2036,nouns,technology,English,"[""technologie""]"
2037,adjective,technique,French,"[""technical""]"
2038,adjective,technical,English,"[""technique""]"
2039,professions,technicien,French,"[""technician""]"
2040,professions,technician,English,"[""technicien"", ""technicienne""]"
2041,nouns,monsieur,French,"[""sir""]"
2042,nouns,sir,English,"[""monsieur""]"
2043,business,profit,French,"[""profit""]"
2044,business,profit,English,"[""profit""]"
2045,music,jazz,French,"[""jazz""]"
2046,music,jazz,English,"[""jazz""]"
2047,health,psychiatrique,French,"[""psychiatric""]"
2048,health,psychiatric,English,"[""psychiatrique""]"
2049,transportation,express,French,"[""express""]"
2050,transportation,express,English,"[""express""]"
2051,food,amer,French,"[""bitter""]"
2052,food,bitter,English,"[""amer"", ""amère""]"
2053,interjection,hé,French,"[""hey""]"
2054,interjection,hey,English,"[""hé""]"
2055,time,heure,French,"[""hour""]"
2056,time,hour,English,"[""heure""]"
2057,history,l'histoire,French,"[""the history""]"
2058,history,the history,English,"[""l'histoire""]"
2059,health,un hôpital,French,"[""a hospital""]"
2060,health,a hospital,English,"[""un hôpital""]"
2061,nouns,honneur,French,"[""honor""]"
2062,nouns,honor,English,"[""honneur""]"
2063,travel,un hôtel,French,"[""a hotel""]"
2064,travel,a hotel,English,"[""un hôtel""]"
2065,preposition,hors,French,"[""outside""]"
2066,preposition,outside,English,"[""hors""]"
2067,adjective,horrible,French,"[""horrible""]"
2068,adjective,horrible,English,"[""horrible""]"
2069,adjective,humain,French,"[""human""]"
2070,adjective,human,English,"[""humain"", ""humaine""]"
2071,adjective,honnète,French,"[""honest""]"
2072,adjective,honest,English,"[""honnète""]"
2073,nouns,honte,French,"[""shame""]"
2074,nouns,shame,English,"[""honte""]"
2075,interjection,Ha!,French,"[""Ha!""]"
2076,interjection,Ha!,English,"[""Ha!""]"
2077,luck,hasard,French,"[""chance"", ""random chance""]"
2078,luck,chance,English,"[""hasard""]"
2079,luck,par hasard,French,"[""by chance""]"
2080,luck,by chance,English,"[""par hasard""]"
2081,luck,heureusement,French,"[""fortunately""]"
2082,luck,fortunately,English,"[""heureusement""]"
2083,nouns,hâte,French,"[""haste""]"
2084,nouns,haste,English,"[""hâte""]"
2085,emotions,humeur,French,"[""mood""]"
2086,emotions,mood,English,"[""humeur""]"
2087,nature,l'herbe,French,"[""the grass""]"
2088,nature,the grass,English,"[""l'herbe""]"
2089,entertainment,horreur,French,"[""horror""]"
2090,entertainment,horror,English,"[""horreur""]"
2091,seasons,l'hiver,French,"[""the winter""]"
2092,seasons,the winter,English,"[""l'hiver""]"
2093,nouns,humanité,French,"[""humanity""]"
2094,nouns,humanity,English,"[""humanité""]"
2095,emotions,la haine,French,"[""the hatred""]"
2096,emotions,the hatred,English,"[""la haine""]"
2097,food,de l'huile,French,"[""some oil""]"
2098,food,some oil,English,"[""de l'huile""]"
2099,nouns,humour,French,"[""humor""]"
2100,nouns,humor,English,"[""humouur""]"
2101,seasons,un hiver,French,"[""one winter""]"
2102,seasons,one winter,English,"[""un hiver""]"
2103,measures,la hauteur,French,"[""the height""]"
